Lesson,New word,Collection size,Version 1,Version 2,Version 3
1,am,1,am.,,
2,me,2,me.,,
3,sat,3,sat.,,
4,see,4,see!,,
5,at,5,at.,,
6,eat,6,eat!,,
7,ram,7,ram!,,
8,rat,8,rat!,,
9,sam,9,sam.,,
10,seat,10,seat.,,
11,seed,11,eat seed.,"sam, seed!",me? seed!
12,mad,12,mad ram!,"sam, mad?",mad rat!
13,meat,13,eat meat!,"sam, meat.",mad meat!
14,read,14,"read, sam.","ram, read!",me? read!
15,sad,15,sad ram.,"sam, sad?",sad meat!
16,ear,16,ear? me?,"sam, ear!",mad ear!
17,it,17,eat it!,it sat.,see it!
18,meet,18,meet me.,meet sam!,meet it?
19,sit,19,"sit, sam!","sit, ram.",sit! eat!
20,is,20,is it?,is sam?,sam is.
21,seem,21,sam is sad.,it seem mad.,is it sam?
22,that,22,that is sam.,eat that meat!,that seem mad.
23,this,23,this is it.,eat this seed!,is this sam?
24,the,24,eat the meat!,see the ram.,the rat sat.
25,mitt,25,see the mitt!,"sam, the mitt!",the mitt sat.
26,rid,26,rid the rat.,rid the meat!,"sam, rid it!"
27,cat,27,the cat sat.,the cat? mad!,see the cat?
28,sack,28,the sack sat.,eat the sack?,"sam, the sack!"
29,rack,29,see the rack.,the rack sat.,rack the meat.
30,sick,30,sam is sick.,sick cat. sad.,is sam sick?
31,a,31,sam is a cat.,see a mad ram.,a rat sat. sad.
32,mom,32,mom is a cat.,"mom, see that rat!",mom sat. mad mom!
33,rock,33,see a mad rock.,sam is a rock.,a rock sat. sad.
34,rod,34,sam is a rod?,"see the rod, mom.",a rod. a rock.
35,sock,35,a sock is sad.,"mom, see that sock!",sick sock! sick sock!
36,an,36,an ear is sad.,see an ear! see!,an ear. an ear.
37,can,37,sam can read it.,can a rat read?,the cat can sit.
38,in,38,rat in the sack!,"sam, in the mitt!",eat in the seat.
39,not,39,sam is not mad.,it is not that.,not a sad rat.
40,on,40,sam sat on it.,a rat on rack.,sit on the seat!
41,ant,41,an ant is on it.,"see a mad ant, mom!",an ant sat on sock.
42,man,42,the man sat on ram!,a man can read it.,the man is not sad.
43,near,43,sam is near a rat.,the cat is near me.,sit near the sad ram.
44,and,44,mom and sam can sit.,a cat and a rat.,mom and sam eat meat.
45,fan,45,mom is a mad fan.,a fan is on mom.,a fan is near sam.
46,fat,46,the fat cat is sad.,a fat rat sat. fat!,fat ant. fat man. fat!
47,feet,47,sam can see the feet.,feet on a sad rat!,an ant is on feet.
48,if,48,"if mom can, sam can.",if the cat is sad?,"if a rat, not me!"
49,fin,49,the fin is on it.,sam can see a fin.,a fin is a fin.
50,fun,50,a fat cat is fun.,"sam can sit. mom, fun!",the fat ant is fun.
51,run,51,the cat can run and sit.,run! the mad ram is fat.,mom can run near the ram.
52,feed,52,sam can feed the sad cat.,"feed the sad fat ant, mom!","feed the rat? not me, mom!"
53,fit,53,the mitt can fit the cat.,an ant can fit in it.,the cat can fit in it.
54,mud,54,the rat sat in the mud.,the ant sat in the mud.,mud! mom is mad at sam!
55,sun,55,the sun is on the cat.,"sit in the sun, fat cat.",the sun! the sun is fun!
56,nut,56,the rat can eat a nut.,a nut on the mitt? fun!,a fat nut is in sam!
57,little,57,the little ant is on sam.,a little ram is not mad.,"mom, see the little fat ram!"
58,lot,58,"sam can eat a lot, mom!",the ant can eat a lot.,mom! a lot! eat a lot!
59,sand,59,the ant sat on the sand.,sam can sit in the sand.,sand on sam! sand on mom!
